Genes	N5CA1	N5CA2	N5CA3	N5CA4	V1	V2	V3	V4	N5FL1	N5FL2	N5FL3	N5FL4
Ctnnal1	5813.84	7868.18	6002.91	8660.08	9321.55	8589.45	11090.6	9672.51	8638.59	8627.51	7822.63	10077.1
Ctnnb1	37921.9	39698.4	40687.8	34229.9	33014.1	36019.8	35623.7	35321.5	20965.6	23090.9	22407.7	27194.5
Ctnnbl1	209494	207295	233505	234682	192762	208520	160833	180572	152778	167943	157026	177265
Ctnnd1	195966	206790	223960	225685	205593	213154	191261	200845	145706	154816	153077	157658
Ctnnd2;Pkp4	17702.1	18890.9	13972.2	12063.9	16660.1	14066.2	12259.2	11916.3	4142.91	5854.59	4905.34	2666.47
Ctps1	211678	208458	210234	208686	188195	186490	178379	193840	214032	220213	219631	237369
Ctps1;Ctps2	55598.5	38379.7	52665.8	63195.6	110129	60715.5	32006.8	44656	80139.5	82987.1	91364.8	58373.4
Ctps2	23349.8	18763.2	23606.2	15050.6	32851.1	27878.9	22754.5	20035.4	17714.6	18488.1	22944.8	17308.1
Ctr9	85684.8	82823.4	77180.2	77077.4	61382	63979.1	56773.7	59651.1	55327.8	64781	63297.1	63594.5
Ctsa	149635	156339	161382	173424	140251	154929	142165	140711	215690	221376	227635	218530
Ctsb	196767	165182	224629	194878	158019	180384	165861	172468	229494	208468	199469	182636
Ctsc	27012.6	24760	31797.7	42014	8633.89	9140.47	8196.55	10845.4	23143.2	28600.1	30274.7	23351.5
Ctsd	547902	517205	585318	557176	624800	720297	732965	736472	523408	469097	484436	451525
Ctsh	30839.6	31033.1	31409.1	21715.7	39590.3	46901.7	38139.5	36119.9	55588.1	61549.5	52322.3	52403.5
Ctsl	59343.7	63504.4	73956.3	76091.7	118872	154593	138795	120855	69975.6	64409.5	65787	78164.5
Ctsz	159220	175558	186194	194878	248968	273752	227984	274150	191750	177867	184475	195415
Cttn	259220	294592	321871	303666	304081	349818	310580	284747	368440	343569	331778	355561
Cttnbp2nl	78072.7	81565.6	74561.1	75769.5	56726	65708.9	71342.1	71638.8	102459	107423	105990	113242
Ctu1	24414.2	26068.9	29348.3	24745.3	18820.6	18222.6	15330.7	14159.9	22731.4	24240.3	26692.3	20142.3
Ctu2	41605.8	44596.5	38883.5	36981.8	34197.3	32805.7	24599	34208.7	32751	36067.6	32155.3	38550.1
Cuedc2	25375.5	21289.9	18623.1	18237.3	11182.3	23279.8	17801.3	18532.2	15371.3	15303.4	11412.8	16693.4
Cul1	97447.9	89644.3	93582.6	96803.1	100498	104262	96942.5	91760	86637	95746.9	97050.8	98861.3
Cul2	57891.7	48402.3	51652.2	53239.8	61655.3	59572.9	51096.7	46445.8	52712.4	55305.2	56992.5	58664.1
Cul3	49883.2	46692.9	51630.5	54386.2	59911.4	52347.9	45259.1	41698.9	56541.9	58201.5	61892.4	55736.6
Cul4a	61820.9	55053.3	63069.3	66977.3	57899.9	58789	52113.6	50613.6	66491.9	76244.7	76105.2	71308.9
Cul4b	55234.6	50678.5	57093.6	63047.7	84910.6	63366.1	54118.9	52630.9	55513.5	65154.7	64753.5	63809.8
Cul5	64629.4	60193.2	65714.7	67143.4	65654.1	67878.8	59373.2	60478.1	74460.2	67457.6	70811.4	66836.7
Cul7	103508	87368.8	95834.7	92038.1	78640.7	72459.2	66910.2	68585.7	72441.5	78100.2	85103.1	87503.8
Custos	15082.6	17215.3	19941.3	18253.5	12666	19922.7	17783.4	12475.8	15482.3	16335.6	14799.4	18356.9
Cuta	442420	446195	442841	420651	390776	635257	703291	665589	227922	258584	258569	361356
Cutc	16143.3	16223.8	17162.8	17955	20147.9	25974.3	18760.3	19054.5	21283.7	22224.4	22427.7	23225.9
Cux1	47699.2	55537	49561.5	46978.1	34538.3	43943.3	42213.1	41058.7	34861.5	40133.7	35876.4	46645.8
Cwc15	150388	154935	160070	159511	138037	149496	139763	142792	128609	134849	131062	134906
Cwc22	36109.8	33266.2	34834.3	35308.7	39975.8	34765.4	35860.7	35474.6	33088.5	40599.1	39823.8	42010.7
Cwc25	43481.6	55149.1	46524.1	48968.9	25498.9	37884.6	31085.6	37900	35208.5	37145.7	32030.1	42232.9
Cwc27	54401.9	57948.2	56976.3	58509.3	76792.8	62412.3	62662.4	71105.4	51133.4	51083.1	44952.9	53181.7
Cwf19l1	56693.2	58451.6	56766.2	56863.6	44716.1	41068.3	42856.8	39865.4	43621.3	51831.6	47625.5	50884.8
Cwf19l2	66321.1	72038.5	72601.6	68380.9	66568.4	77923.8	65572.7	61840.6	68034.3	60614.1	53627	62663.4
Cxxc1	23113.6	20762.6	25471.2	27429.1	18778	18752.1	16590.7	18473.9	19794.5	23016.2	23972.6	20111.8
Cyb561d2	9945.98	9648.15	7385.09	8076.55	7375.48	5116.16	7021.25	4481.81	7836.69	5948.66	7567.31	10912.6
Cyb5a	664766	674343	677667	596496	569025	540171	444316	415883	129220	109164	120198	110294
Cyb5b	244897	218186	206054	189813	247127	253809	239377	201531	148843	163401	211814	219050
Cyb5r1	62081.9	52928.7	45875.1	70391.1	81955.6	85812.3	80040.8	73373.9	163293	174066	202428	255188
Cyb5r2	12107.6	13390.2	9122.41	14435.9	34797	41321.6	37107.3	42549.5	24560.2	20653.5	25124	26744.4
Cyb5r3	443659	384551	387914	399509	498739	500806	461487	417276	553317	606489	722753	783138
Cyb5r4	33156.2	38282	29713.5	32247	30695.3	34460.7	30734.7	32458.6	13557.3	23698.3	21233.4	20820.8
Cybc1	78207.4	71568.4	71957.6	62182.8	73215.1	58260.8	56971.8	58022	72900.2	60684.2	74267.1	76195.4
Cyc1	272589	239204	249862	231440	238841	229275	212552	201723	253298	260846	293654	290148
Cycs	226872	274374	247435	228417	315050	408355	391863	366934	245127	302678	276756	319890
Cyfip1	95033.3	87001.1	89488.3	87483.3	94731.8	85751	75560.6	79987.9	83754.1	79277.1	81260.9	93461.4
Cyfip2	111909	108303	100901	101672	111846	105752	100358	95965.5	75167.9	80680.2	79837.9	83798
Cyld	16886.6	18330.7	16102.4	10080.4	18655.8	23487.4	24470.1	25293.5	14905.5	18640.9	18025.9	24681.6
Cyp1a1	5210.36	4748.66	3143.2	1727.74					1656.78	3103.22	3694.5	1951.24
Cyp20a1	56441.3	46451.2	48824.5	44849.5	44978	41709.9	41611.3	30358.5	67865.6	62711	79126.8	80982.7
Cyp2j6	50732.4	43142.8	42440.6	44560.7	39553.9	39875.2	38472.7	38156.4	37901.9	35057.1	40223.4	40491.5
Cyp39a1	27797	22439	24247.3	27174.2	24779.4	26040.1	23901.3	20324.4	6049.54	7049.76	9627.36	12743.9
Cyp4f16	6752.76	3345.41	3703.99	2615.05	5426.1	3811.11	11295.8	7395.64	6499.7	8096.21	4826.21	7293.71
Cyp51a1	241246	196578	223132	238636	398341	270670	213129	238645	226191	197880	243602	229637
Cyria	7050.01	7083.06	8716.74	6443.59	10006.5	7693.78	10937.9	8096.01	4400.06	3304.92	4363.47	5197.24
Cyria;Cyrib	144275	135328	116383	116685	112427	125646	137834	135365	87647	101168	103407	123321
Cyrib	61998.9	52742.7	60898.2	61269.6	62939.4	58448.4	43309.1	40381.1	74365.8	64829.6	67258	61857.3
Cyth1;Cyth2	45661.1	44599.8	60922.1	72278.4	78986.9	73680.5	55213.7	60835.8	53060.1	50619.1	59221.5	56360.2
Cyth1;Cyth2;Cyth3	38574.8	33709.2	43658.3	42056.6	38489.4	30225.7	34233.2	25533	38756.4	43949.1	36834	43605
Cyth1;Cyth2;Cyth3;Cyth4	28025.3	27115.2	29445.6	29125.1	35662.1	24927.9	13936.2	18575.4	40269.2	36612.8	42905.3	37865.1
Cyth2	30866.7	34827.6	16582.8	31107.5	24082.3	23376.7	23512.2	24460.8	11097.1	25292.1	23096.5	35565.4
Czib	60304.6	67806	58562.2	55196.1	67658.3	71999.2	76462.4	79655.2	68544.4	74713	73576.3	71354
D17h6s53e	33538.3	35684.6	31855.5	28657.6	26818.2	28651.9	29751.7	27661.6	38543.4	36146.8	43773.1	41647
D8Ertd738e	25398.3	33724.9	18779.5	16149.6	7183.71	14867.3	14696	15187.4	7573.07	8526.36	6379.45	16043
DSCC1	46752.7	44741.7	53553.3	40975.5	39601	42339.4	32828.7	37719.7	22535.5	27942.6	26383.2	27637.8
Daam1	29351.1	28823.6	24594.5	24150.9	29782.8	27203.4	30456.3	32948.7		9561.65	9860.55	10406
Dab2	57765	68153.1	81140.1	78194.7	33600.3	35992.3	28507.2	31961.6	83946.8	86726.3	80806.8	92272.8
Dab2ip	18848	17543.9	12851.2	13212.1	23592.2	16655.6	9131.5	8531.37	18067.4	23858.6	15524.1	18355.3
Dad1	280477	225670	238784	267216	320480	254951	175632	164415	332318	310061	360532	302039
Dag1	33962	37652.5	38039	35603.8	53505.3	59045	54544.2	52773.7	31384	29928.9	29680.4	35498
Dagla		1626.51	735.132		4268.93			1114.74		2142.15	3609.26	4244.4
Daglb	22171.8	20948.2	15533.7	15612.9	21624.5	20387.5	20154.4	13105.2	11133.8	13975.3	11285.1	17660.7
Dalrd3	1785.53	1234.95	346.333		895.607	4359.81	1774.74			3664.14	4510.71	3167.9
Dap	91149.4	83977.6	46014.4	54029.4	92225	74026.7	135156	129080	75640.5	76143.7	82179.5	109673
Dap3	65932.4	65693	69586.5	70652	79820.5	77416.5	73332.1	72940.7	81062.6	83118.4	85751.3	86447.1
Dapk3	30593.5	35878.1	34873.7	39848.2	33924.9	34912.9	28636.7	34105.7	39630.6	34874.2	37024.2	29848.8
Dars1	577592	505980	599875	624233	568145	528681	443861	459671	705722	714244	685971	615550
Dars2	58496.1	57788.4	61059.6	56285.7	44619.2	53234	41746.9	45936.5	53938.4	63109.7	66335.8	60947.4
Daxx	22572.6	22092.1	24537.2	22441.2	19614.4	22899.5	25004	25972.5	15785.1	18964.5	17041.4	19602.4
Dazap1	126948	120691	180511	180963	113608	110063	79347.9	87796.2	155450	157622	170272	115724
Dazap2	14119.9	24225.6	14397.6	13576.4	12378.8	18951.4	21445.8	22526.1	15853.9	12209.9	14166.9	17282.5
Dbi	1.81E+06	1.96E+06	2.45E+06	2.58E+06	1.54E+06	2.07E+06	1.23E+06	1.15E+06	3.39E+06	3.21E+06	3.25E+06	2.59E+06
Dbn1	106274	127899	121659	129087	163409	178551	173975	179336	134285	127819	120477	130588
Dbnl	173344	195767	185420	178063	166420	195932	194073	203294	145593	140707	137210	164260
